번호,지점명,주소,전화번호
1,강원홍천군홍천점,강원 홍천군 홍천읍 갈마로,033-435-7983
2,강원양구군방산점,강원 양구군 방산면 장거리길,033-481-8892
3,강원춘천시석사점,강원 춘천시 우석로,033-262-6007
4,강원춘천시퇴계점,강원 춘천시 춘주로,033-242-8119
5,강원홍천군시동점,강원 홍천군 남면 시동리,033-432-9288
6,강원인제군신남점,강원 인제군 남면 신남로,033-461-0049
7,강원춘천시교동후평점,강원 춘천시 성심로,033-244-8892
8,강원화천군사내점,강원 화천군 사내면 사내로,033-441-9292
9,강원인제군인제점,강원 인제군 인제읍 인제로,033-463-7999
10,강원화천군산양리점,강원 화천군 상서면 영서로,033-442-4484
11,강원양구군동면점,강원 양구군 동면 금강산로,033-482-2292
12,강원철원군지경리점,강원 철원군 갈말읍 청양로,033-458-3505
13,강원인제군서화점(B),강원 인제군 서화면 천도로,033-462-4479
14,강원화천군다목리점,강원 화천군 상서면 수피령로,033-441-9288
15,강원철원군자등리점,강원 철원군 서면 자등로,033-458-9233
16,강원철원군신철원점,강원 철원군 갈말읍 삼부연로,033-452-9911
17,강원홍천군대명비발디점,강원 홍천군 서면 한치골길,033-435-4479
18,강원화천군화천점,강원 화천군 화천읍 중앙,033-441-9233
19,경기포천시운천점,경기 포천시 영북면 운천로,031-534-9293
20,강원철원군동송점,강원 철원군 동송읍 금학로,033-456-0635
21,강원철원군와수리점,강원 철원군 서면 와수로,033-458-5332
22,강원춘천시효자점,강원 춘천시 서부대성로,033-256-0074
23,강원춘천시칠전송암점,강원 춘천시 옛경춘로,033-251-4479
24,강원인제군현리점,강원 인제군 기린면 내린천로,033-461-9294
25,강원양구군양구점,강원 양구군 양구읍 중앙길,033-481-9995
26,강원철원군내대리점,강원 철원군 갈말읍 두루미로,033-452-1111
27,강원춘천시강북점,강원 춘천시 충열로,033-252-0086
28,강원강릉시포남1점,강원 강릉시 가작로,033-652-9976
29,강원영월군영월점,강원 영월군 영월읍 은행나무길,033-375-9696
30,강원강릉시초당점,강원 강릉시 초당원길,033-653-9298
31,강원원주시단계점,강원 원주시 원문로,033-748-0213
32,강원원주시명륜점,강원 원주시 남산로,033-761-9288
33,강원태백시태백점,강원 태백시 황지로,033-554-4494
34,강원원주시단관점,강원 원주시 단관초교길,033-748-9494
35,강원속초시교동점,강원 속초시 수복로,033-633-4425
36,강원속초시조양점,강원 속초시 동해대로,033-637-4466
37,강원원주시문막점,강원 원주시 문막읍 건등로,033-734-4482
38,강원동해시부곡점,강원 동해시 발한로,033-534-9993
39,강원양양군양양점,강원 양양군 양양읍 양양로,033-673-4492
40,강원양양군하조대점,강원 양양군 현북면 조준길,033-672-1658
41,강원평창군진부점,강원 평창군 진부면 진부중앙로,033-336-4492
42,강원동해시망상점,강원 동해시 동해대로,033-534-3377
43,강원강릉시내곡점,강원 강릉시 범일로,033-643-9954
44,강원속초시금호점,강원 속초시 미시령로,033-638-4482
45,강원원주시무실점,강원 원주시 섬밭들길,033-746-4479
46,강원동해시천곡점,강원 동해시 한섬로,033-532-9591
47,강원동해시효가점,강원 동해시 동해대로,033-521-2676
48,강원태백시장성점,강원 태백시 장성로,033-581-5677
49,강원원주시태장점,강원 원주시 북원로,033-745-9979
50,강원평창군대관령점,강원 평창군 대관령면 경강로 ,033-335-9599
51,강원평창군장평점,강원 평창군 용평면 경강로,033-333-4491
52,강원정선군정선점,강원 정선군 정선읍 봉양길,033-562-4477
53,강원횡성군횡성점,강원 횡성군 횡성읍 읍하로,033-344-4479
54,강원강릉시홍제점,강원 강릉시 홍제로,033-643-9993
55,강원평창군봉평점,강원 평창군 봉평면 태기로,033-334-5255
56,강원강릉시솔올점,강원 강릉시 원대로,033-641-4560
57,강원강릉시입암점,강원 강릉시 강변로,033-643-9976
58,강원강릉시사천해변점,강원 강릉시 사천면 진리해변길,033-644-8881
59,강원원주시개운단구점,강원 원주시 서원대로,033-766-4479
60,강원원주시혁신도시점,강원 원주시 웅비2길 ,033-742-4479
61,강원원주시반곡봉산점,강원 원주시 반곡길,033-731-9986
62,강원삼척시교동점,강원 삼척시 정상로,033-573-8000
63,강원강릉시주문진점,강원 강릉시 주문진읍 주문로,033-661-4488
64,서울도봉구신창점,서울 도봉구 덕릉로,02-998-9592
65,경기파주시선유점,경기 파주시 문산읍 독서울길,031-953-1842
66,경기양주시광적점,경기 양주시 광적면 삼일로,031-836-3436
67,경기연천군전곡점,경기도 연천군 전곡읍 은전로,031-832-9956
68,경기동두천시생연점,경기 동두천시 삼육사로,031-862-9298
69,경기포천시신읍리점,경기 포천시 왕방로,031-531-9280
70,서울도봉구도봉1점,서울 도봉구 마들로,02-955-3356
71,경기양주시신산점,경기 양주시 남면 개나리길,031-861-9252
72,서울강북구미아점,서울 강북구 도봉로,02-982-8292
73,경기의정부시의정부1점,경기 의정부시 호국로,031-846-9952
74,경기양주시덕계점,경기 양주시 평화로,031-864-9982
75,경기양주시장흥점,경기 양주시 장흥면 호국로,031-855-5474
76,서울성동구행당1점,서울 성동구 왕십리로길,02-2293-4479
77,서울노원구상계1점,서울 노원구 동일로,02-952-9288
78,경기연천군대광리점,경기 연천군 신서면 연신로,031-834-8207
79,서울은평구불광점,서울 은평구 불광로,02-355-1192
80,서울용산구원효점,서울 용산구 새창로길,02-707-0983
81,경기고양시풍동점,경기 고양시 일산동구 숲속마을로,031-966-4492
82,경기고양시주교점,경기 고양시 덕양구 원당로,031-965-9234
83,경기의정부시금오지구점,경기 의정부시 청사로,031-853-9989
84,서울성북구정릉점,서울 성북구 보국문로,02-943-9592
85,서울서대문구홍제1점,서울 서대문구 통일로,02-3216-4450
86,경기고양시중산점,경기 고양시 일산동구 탄중로,031-975-4492
87,경기양주시송추점,경기 양주시 장흥면 호국로,031-826-1934
88,서울중랑구묵2동점,서울 중랑구 동일로,02-975-4527
89,경기고양시라페스타점,경기 고양시 일산동구 무궁화로,031-905-9982
90,경기파주시봉일천점,경기 파주시 조리읍 송비말길,031-947-4192
91,서울동대문구용두1호점,서울 동대문구 정릉천동로,02-922-3777
92,경기포천시양문점,경기 포천시 영중면 양문로,031-532-6608
93,서울마포구망원점,서울 마포구 포은로,02-323-7383
94,서울노원구공릉점,서울 노원구 공릉로,02-971-9288
95,서울동대문구신이문점,서울 동대문구 한천로,02-966-8955
96,서울노원구상계마들점,서울 노원구 한글비석로,02-934-4479
97,경기고양시문촌점,경기 고양시 일산서구 킨텍스로,031-912-4479
98,경기파주시문산점,경기 파주시 문산읍 문향로,031-953-9479
99,경기고양시성석점,경기 고양시 일산동구 성현로,031-977-4412
100,서울성북구보문점,서울 성북구 보문로,02-922-0118
101,경기고양시행신3점,경기 고양시 덕양구 화신로,031-978-1629
102,서울서대문구이대역점,서울 서대문구 연세로,02-3272-0036
103,서울중랑구망우점,서울 중랑구 용마산로,02-433-4479
104,경기고양시식사동점,경기 고양시 일산동구 동국로,031-963-4414
105,경기양주시고읍지구점,경기 양주시 고읍로,031-845-9282
106,서울광진구화양점,서울 광진구 아차산로,02-462-8887
107,경기연천군연천점,경기 연천군 연천읍 연천로,031-834-8245
108,경기고양시주엽1점,경기 고양시 일산서구 대산로,031-912-8892
109,서울광진구자양2점,서울 광진구 뚝섬로,02-454-3336
110,서울광진구어린이대공원점,서울 광진구 광나루로,02-466-6572
111,서울은평구역촌점,서울 은평구 역말로,02-359-4472
112,서울강북구수유점,서울 강북구 삼양로,02-985-0092
113,경기포천시이동점,경기 포천시 이동면 성장로,031-531-9289
114,서울은평구신사점,서울 은평구 증산로,02-307-4472
115,서울강북구삼각산점,서울 강북구 삼양로,02-982-8282
116,서울광진구구의3점,서울 광진구 구의로,02-455-9922
117,경기동두천시송내지구점,경기 동두천시 동두천로,031-857-4144
118,서울중랑구면목1동점,서울 중랑구 사가정로,02-437-9202
119,서울동대문구장안점,서울 동대문구 장한로,02-2245-1917
120,서울노원구중계본동점,서울 노원구 중계로,02-934-5559
121,서울노원구상계2점,서울 노원구 상계로,02-951-4492
122,경기양주시덕정점,경기 양주시 화합로,031-859-4977
123,서울도봉구방학1점,서울 도봉구 도당로,02-3491-4479
124,경기고양시대화점,경기 고양시 일산서구 강성로,031-925-5592
125,서울성북구동소문점,서울 성북구 아리랑로,02-923-4492
126,경기의정부시장암점,경기 의정부시 장곡로,031-855-9003
127,서울동대문구청량리점,서울 동대문구 홍릉로,02-968-0092
128,경기포천시내촌점,경기 포천시 내촌면 내촌로,031-531-3222
129,서울도봉구방학2점,서울 도봉구 방학로,02-955-4482
130,경기연천군백학점,경기 연천군 백학면 두백로,031-835-8508
131,경기양주시백석점,경기 양주시 백석읍 양주산성로,031-879-9114
132,경기의정부시신곡점,경기 의정부시 시민로,031-842-9995
133,서울용산구후암점,서울 용산구 한강대로,02-756-6225
134,서울성북구장위2동점,서울 성북구 돌곶이로,02-913-9290
135,서울성북구석관점(B),서울 성북구 한천로,02-960-4492
136,서울성동구한양점,서울 성동구 마조로,02-2294-9282
137,서울종로구광화문점(B),서울 종로구 사직로,02-730-9244
138,경기포천시일동점,경기 포천시 일동면 화동로,031-531-9288
139,서울성북구월곡점,서울 성북구 오패산로,02-943-4492
140,서울성동구금호점,서울 성동구 독서당로,02-2299-2272
141,서울은평구응암점,서울 은평구 응암로,02-387-3366
142,서울동대문구전농2점,서울 동대문구 답십리로,02-2241-8292
143,경기고양시행신2점,경기 고양시 덕양구 무원로,031-973-0702
144,경기의정부시금오점,경기 의정부시 하금로,031-847-9670
145,경기고양시백마점,경기 고양시 일산동구 경의로,031-904-4482
146,경기고양시덕이점,경기 고양시 일산서구 탄중로,031-923-1311
147,서울종로구창신점(B),서울 종로구 지봉로,02-766-9282
148,경기의정부시호원점,경기 의정부시 평화로,031-871-0298
149,경기파주시광탄점,경기 파주시 광탄면 새뜰길,031-946-4492
150,경기동두천시중앙점,경기 동두천시 동광로,031-861-2234
151,서울광진구중곡2점,서울 광진구 동일로,02-464-4479
152,경기고양시신원점,경기 고양시 덕양구 권율대로,02-381-4492
153,서울광진구자양점,서울 광진구 능동로,02-452-9200
154,서울마포구서교점,서울 마포구 월드컵북로,02-322-7339
155,서울강북구번동점,서울 강북구 오현로,02-987-4479
156,서울마포구성산점,서울 마포구 월드컵북로,02-305-9993
157,서울동대문구휘경1점,서울 동대문구 한천로,02-2212-6888
158,서울서대문구남가좌점,서울 서대문구 증가로,02-304-4479
159,서울마포구광흥창역점,서울 마포구 독막로,02-335-4492
160,경기의정부시망월사역점,경기 의정부시 평화로,031-875-2929
161,서울광진구군자송정점,서울 광진구 동일로,02-499-4479
162,경기의정부시가능3점,경기 의정부시 호국로,031-829-8850
163,서울성북구길음점,서울 성북구 삼양로,02-953-5100
164,경기고양시백석1점,경기 고양시 일산동구 백석로,031-907-8845
165,경기포천시송우점,경기 포천시 소흘읍 봉솔로길,031-543-4244
166,경기고양시관산점,경기 고양시 덕양구 통일로,031-969-2225
167,서울노원구하계1점,서울 노원구 공릉로,02-976-8292
168,서울마포구상암점(B),서울 마포구 월드컵북로,02-373-4479
169,서울서대문구연희점,서울 서대문구 연희로,02-3143-4479
170,경기파주시금촌2동점,경기 파주시 황골로,031-949-4355
171,서울용산구숙대점,서울 용산구 청파로,02-718-4479
172,경기고양시고양동점,경기 고양시 덕양구 혜음로,031-964-5592
173,서울중랑구면목2점,서울 중랑구 망우로,02-434-5999
174,서울중구중림점,서울 중구 중림로,02-365-4479
175,서울용산구이촌점,서울 용산구 이촌로,02-712-4482
176,경기고양시화정2점,경기도 고양시 덕양구 화정로,031-978-4445
177,서울도봉구창동점,서울 도봉구 덕릉로,02-995-8228
178,서울성북구성신여대점(B),서울 성북구 보문로,02-921-4479
179,서울광진구중곡1점,서울 광진구 면목로,02-468-5592
180,서울은평구녹번점,서울 은평구 은평로,02-358-4482
181,경기의정부시신시가지점,경기 의정부시 범골로,031-879-6160
182,서울종로구혜화점,서울 종로구 명륜길,02-765-4479
183,경기파주시적성점,경기 파주시 적성면 청송로,031-958-7999
184,서울용산구보광점,서울 용산구 보광로,02-749-4479
185,서울마포구홍대역점,서울특별시 마포구 동교로,02-334-9254
186,서울종로구종로점,서울 종로구 수표로,02-2275-0388
187,서울중구신당2점,서울 중구 청구로,02-2231-4479
188,경기파주시법원점,경기 파주시 법원읍 사임당로,031-959-1017
189,경기파주시운정1점,경기 파주시 와석순환로,031-948-2332
190,서울마포구공덕점,서울 마포구 만리재로,02-703-4479
191,서울도봉구쌍문점,서울 도봉구 노해로,02-900-9912
192,경기고양시능곡점,경기 시흥시 장현능곡로,031-974-9956
193,경기고양시가좌점,경기 고양시 일산서구 가좌로,031-921-9292
194,경기의정부시녹양점,경기 의정부시 녹양로,031-875-2388
195,서울동대문구회기점,서울 동대문구 회기로,02-966-4479
196,서울도봉구도봉산역점,서울 도봉구 도봉산3길 ,02-954-8788
197,서울중랑구면목3점,서울 중랑구 용마산로,02-493-4479
198,경기고양시일산점,경기 고양시 일산서구 원일로,031-975-2676
199,서울중구을지로점,서울 중구 퇴계로,02-2275-9244
200,서울노원구중계2동점,서울 노원구 동일로,02-978-4492
201,서울은평구갈현1점,서울 은평구 연서로,02-354-4492
202,경기파주시LCD점,경기 파주시 월롱면 엘씨디로,031-949-3536
203,서울동대문구전농점,서울 동대문구 전농로,02-3394-9292
204,서울강북구수유2점,서울 강북구 삼각산로,02-905-8899
205,서울중랑구중화점,서울 중랑구 동일로,02-491-4479
206,서울성북구종암점(B),서울 성북구 종암로,02-921-2900
207,경기고양시화정1점,경기 고양시 덕양구 화중로,031-968-9288
208,경기포천시가산점,경기 포천시 가산면 가산로,031-541-9585
209,경기의정부시민락용현점,경기 의정부시 용현로,031-852-3400
210,서울노원구상계중앙점,서울 노원구 동일로,02-931-4492
211,서울서대문구북가좌2점,서울 서대문구 증가로,02-303-4479
212,서울중랑구신내1점,서울 중랑구 신내로,02-3421-9202
213,경기의정부시가능2점,경기 의정부시 가능로,031-874-5550
214,서울노원구중계4동점,서울 노원구 덕릉로,02-3392-4479
215,서울은평구구산점,서울 은평구 갈현로,02-354-8833
216,경기연천군군남점,경기 연천군 군남면 군왕로,031-833-3555
217,서울서대문구홍은1점,서울 서대문구 간호대로,02-391-4492
218,서울중랑구상봉1점,서울 중랑구 신내로,02-434-3544
219,서울중랑구용마산역점,서울 중랑구 면목로,02-433-4492
220,경기고양시성사점,경기 고양시 덕양구 마상로,031-962-7792
221,서울성동구성수2가점,서울 성동구 성덕정길,02-467-8277
222,경기양주시은현점,경기 양주시 은현면 은현로,031-861-8955
223,서울서대문구연대점,서울 서대문구 연세로,02-332-4479
224,서울종로구독립문점,서울 종로구 통일로,02-737-4492
225,서울마포구마포역점,서울 마포구 새창로,02-717-4422
226,서울은평구대조점,서울 은평구 통일로,02-382-1492
227,서울마포구염리점,서울 마포구 마포대로,02-714-4479
228,경기파주시운정3점,경기 파주시 한빛로,031-948-4472
229,서울서초구반포1점,서울 서초구 반포대로,02-532-9291
230,서울금천구시흥2점,서울 금천구 금하로,02-802-5124
231,서울동작구대방점,서울 동작구 등용로,02-815-8292
232,서울동작구신대방점,서울 동작구 여의대방로,02-833-5444
233,서울서초구방배1호점,서울 서초구 방배로,02-593-3060
234,서울영등포구여의도점,서울 영등포구 의사당대로,02-782-9244
235,서울관악구신림2점,서울 관악구 신림로,02-877-4482
236,서울영등포구영등포점,서울 영등포구 영신로,02-842-4492
237,서울송파구거여점,서울 송파구 성내천로,02-400-3615
238,서울동작구상도1점,서울 동작구 상도로,02-824-9244
239,서울영등포구대림3점,서울 영등포구 도림로,02-843-1009
240,서울동작구중대점,서울 동작구 흑석로,02-815-9282
241,서울강남구일원점,서울 강남구 일원로,02-3414-9988
242,서울송파구삼전점,서울 송파구 백제고분로,02-423-4482
243,서울영등포구문래점,서울 영등포구 도림로,02-2634-9245
244,서울영등포구양평점,서울 영등포구 영등포로,02-2636-9244
245,서울관악구관악구청점,서울 관악구 쑥고개로,02-889-4492
246,서울동작구노량진점,서울 동작구 만양로,02-826-9982
247,서울강남구개포1점,서울 강남구 개포로,02-2057-9292
248,경기과천시과천1점,경기 과천시 별양로,02-503-7070
249,서울서초구양재점,서울 서초구 동산로,02-529-0812
250,서울동작구상도2호점,서울 동작구 성대로,02-815-4492
251,서울송파구잠실새내역점,서울 송파구 올림픽로,02-415-4479
252,서울영등포구여의도2호점,서울 영등포구 국제금융로,02-780-9244
253,서울서초구잠원점,서울 서초구 나루터로,02-542-5582
254,서울영등포구신풍역점,서울 영등포구 대방천로,02-834-4479
255,서울관악구인헌점,서울 관악구 인헌길,02-883-9931
256,서울서초구우면점,서울 서초구 형촌길,02-573-2292
257,서울송파구잠실본점,서울 송파구 백제고분로,02-423-4374
258,서울영등포구영등포푸르지오점,서울 영등포구 양산로,02-842-4493
259,서울관악구신림점,서울 관악구 문성로,02-889-4442
260,서울영등포구신길점,서울 영등포구 가마산로,02-844-4492
261,서울송파구석촌점,서울 송파구 가락로,02-424-8060
262,서울관악구봉천중앙점,서울 관악구 남부순환로,02-876-9992
263,서울송파구가락2점,서울 송파구 송이로,02-408-4482
264,서울송파구문정장지점,서울 송파구 새말로,02-400-8213
265,서울송파구오금점(B),서울 송파구 마천로,02-6407-7285
266,서울강남구세곡자곡점,서울 강남구 자곡로,02-3411-4479
267,서울금천구가산독산1동점,서울 금천구 가산로,02-856-9244
268,서울동작구총신대점,서울 동작구 솔밭로,02-598-4479
269,서울금천구독산점,서울 금천구 남부순환로,02-866-9592
270,서울송파구가락점,서울 송파구 문정로,02-407-4774
